example_group,wikidata_id,name,birth_year,gender_category,context_count,context_labels,wikipedia_sitelink_count,best_candidate_affiliation,top_candidate_affiliations,occupation_labels,evidence_note,presenter_use
germany_place_only,http://www.wikidata.org/entity/Q18528579,Susanna Whatman,1753,female,3,France | Germany | British,2,British,British,écrivain ou écrivaine,"Recovered by German place context, not citizenship evidence.",Use to show that place context also matters beyond the British case.
china_qing_citizenship_contrast,http://www.wikidata.org/entity/Q19133,Qianlong,1711,male,1,China/Qing,61,China,China,calligraphe | collectionneur ou collectionneuse d'œuvres d'art | monarque | poète ou poétesse,Recovered through China/Qing citizenship evidence.,Use as the contrast case where citizenship is comparatively orderly in current data.
china_qing_citizenship_contrast,http://www.wikidata.org/entity/Q182874,Cao Xueqin,1724,male,1,China/Qing,50,China,China,artiste peintre | auteur de poésie ci | philosophe | poète ou poétesse | romancier ou romancière | écrivain ou écrivaine,Recovered through China/Qing citizenship evidence.,Use as the contrast case where citizenship is comparatively orderly in current data.
china_qing_citizenship_contrast,http://www.wikidata.org/entity/Q25251,Tsangyang Gyatso,1683,male,1,China/Qing,40,China,China,poète ou poétesse | écrivain ou écrivaine,Recovered through China/Qing citizenship evidence.,Use as the contrast case where citizenship is comparatively orderly in current data.
china_qing_citizenship_contrast,http://www.wikidata.org/entity/Q147220,Yuan Mei,1716,male,1,China/Qing,28,China,China,artiste peintre | auteur de poésie ci | calligraphe | personnalité politique | poète ou poétesse | écrivain ou écrivaine,Recovered through China/Qing citizenship evidence.,Use as the contrast case where citizenship is comparatively orderly in current data.
china_qing_citizenship_contrast,http://www.wikidata.org/entity/Q700179,Heshen,1750,male,1,China/Qing,27,China,China,personnalité politique | poète ou poétesse,Recovered through China/Qing citizenship evidence.,Use as the contrast case where citizenship is comparatively orderly in current data.
china_qing_citizenship_contrast,http://www.wikidata.org/entity/Q3138460,Wang Zhenyi,1768,female,1,China/Qing,21,China,China,astronome | mathématicien ou mathématicienne | poète ou poétesse,Recovered through China/Qing citizenship evidence.,Use as the contrast case where citizenship is comparatively orderly in current data.
china_qing_citizenship_contrast,http://www.wikidata.org/entity/Q699365,Wu Jingzi,1701,male,1,China/Qing,19,China,China,poète ou poétesse | prosateur ou prosatrice | écrivain ou écrivaine,Recovered through China/Qing citizenship evidence.,Use as the contrast case where citizenship is comparatively orderly in current data.
china_qing_citizenship_contrast,http://www.wikidata.org/entity/Q711989,Ji Yun,1724,male,1,China/Qing,15,China,China,collectionneur ou collectionneuse | personnalité politique | philosophe | écrivain ou écrivaine,Recovered through China/Qing citizenship evidence.,Use as the contrast case where citizenship is comparatively orderly in current data.
women_in_china_qing_slice,http://www.wikidata.org/entity/Q3138460,Wang Zhenyi,1768,female,1,China/Qing,21,China,China,astronome | mathématicien ou mathématicienne | poète ou poétesse,Female entities in the China/Qing slice.,Use to open the gender-by-context discussion.
women_in_china_qing_slice,http://www.wikidata.org/entity/Q15904009,Yun Zhu,1771,female,1,China/Qing,9,China,China,artiste peintre | poète ou poétesse | écrivain ou écrivaine | éditeur ou éditrice,Female entities in the China/Qing slice.,Use to open the gender-by-context discussion.
women_in_china_qing_slice,http://www.wikidata.org/entity/Q7967747,Wang Yun,1749,female,1,China/Qing,5,China,China,dramaturge | poète ou poétesse | écrivain ou écrivaine,Female entities in the China/Qing slice.,Use to open the gender-by-context discussion.
women_in_china_qing_slice,http://www.wikidata.org/entity/Q8259536,Duansheng Chen,1751,female,1,China/Qing,5,China,China,poète ou poétesse | romancier ou romancière | écrivain ou écrivaine,Female entities in the China/Qing slice.,Use to open the gender-by-context discussion.
women_in_china_qing_slice,http://www.wikidata.org/entity/Q6539974,Liang Desheng,1771,female,1,China/Qing,5,China,China,poète ou poétesse | écrivain ou écrivaine,Female entities in the China/Qing slice.,Use to open the gender-by-context discussion.
women_in_china_qing_slice,http://www.wikidata.org/entity/Q25712558,Fang Wanyi,1732,female,1,China/Qing,4,China,China,artiste peintre | poète ou poétesse,Female entities in the China/Qing slice.,Use to open the gender-by-context discussion.
women_in_china_qing_slice,http://www.wikidata.org/entity/Q28416926,He Shuangqing,1715,female,1,China/Qing,3,China,China,poète ou poétesse,Female entities in the China/Qing slice.,Use to open the gender-by-context discussion.
women_in_china_qing_slice,http://www.wikidata.org/entity/Q45702002,Luo Qilan,1755,female,1,China/Qing,3,China,China,artiste peintre | poète ou poétesse,Female entities in the China/Qing slice.,Use to open the gender-by-context discussion.
visible_but_missing_citizenship,http://www.wikidata.org/entity/Q29473,Pietro Metastasio,1698,male,2,France | Germany,42,Italian,Italian,auteur-compositeur ou autrice-compositrice | dramaturge | librettiste | poète ou poétesse | prêtre catholique | écrivain ou écrivaine,Has Wikipedia visibility but no country-of-citizenship value.,Use to separate data visibility from clean structured citizenship.
visible_but_missing_citizenship,http://www.wikidata.org/entity/Q741900,Giuseppe Baretti,1719,male,2,France | British,16,Italian,Italian,critique littéraire | dramaturge | lexicographe | poète ou poétesse | traducteur ou traductrice | écrivain ou écrivaine,Has Wikipedia visibility but no country-of-citizenship value.,Use to separate data visibility from clean structured citizenship.
visible_but_missing_citizenship,http://www.wikidata.org/entity/Q1152092,Saverio Bettinelli,1718,male,2,France | Germany,12,Italian,Italian,critique littéraire | philosophe | poète ou poétesse | écrivain ou écrivaine,Has Wikipedia visibility but no country-of-citizenship value.,Use to separate data visibility from clean structured citizenship.
visible_but_missing_citizenship,http://www.wikidata.org/entity/Q2596242,Giovanni Battista Brocchi,1772,male,2,France | Germany,10,Italian,Italian,botaniste | géologue | ingénieur | malacologiste | naturaliste | paléontologue | poète ou poétesse | scientifique | voyageur ou voyageuse,Has Wikipedia visibility but no country-of-citizenship value.,Use to separate data visibility from clean structured citizenship.
visible_but_missing_citizenship,http://www.wikidata.org/entity/Q318216,Cosimo Alessandro Collini,1727,male,2,France | Germany,9,French,French,conservateur ou conservatrice de musée | historien ou historienne | écrivain ou écrivaine,Has Wikipedia visibility but no country-of-citizenship value.,Use to separate data visibility from clean structured citizenship.
visible_but_missing_citizenship,http://www.wikidata.org/entity/Q3508627,Karel Slavíček,1678,male,2,Germany | China/Qing,5,Czech,Czech,astronome | linguiste | mathématicien ou mathématicienne | musicien ou musicienne | musicologue | prêtre catholique | pédagogue | écrivain ou écrivaine,Has Wikipedia visibility but no country-of-citizenship value.,Use to separate data visibility from clean structured citizenship.
visible_but_missing_citizenship,http://www.wikidata.org/entity/Q3504997,Filip Grabovac,1697,male,2,France | Germany,5,Croatian,Croatian,poète ou poétesse,Has Wikipedia visibility but no country-of-citizenship value.,Use to separate data visibility from clean structured citizenship.
visible_but_missing_citizenship,http://www.wikidata.org/entity/Q4887379,Benedetto Stay,1714,male,2,France | Germany,5,Italian,Italian,enseignant ou enseignante | philosophe | poète ou poétesse | prêtre,Has Wikipedia visibility but no country-of-citizenship value.,Use to separate data visibility from clean structured citizenship.
visible_but_low_evidence_affiliation,http://www.wikidata.org/entity/Q507686,Antun Sorkočević,1775,male,2,France | Germany,6,,Austrian/Habsburg | Croatian | France | Germany | Ragusan/Dalmatian,compositeur ou compositrice | diplomate | personnalité politique | écrivain ou écrivaine,Has Wikipedia visibility but only weak affiliation evidence.,"Use to show data friction as evidence, not just noise."
visible_but_low_evidence_affiliation,http://www.wikidata.org/entity/Q3291494,Marie-Angélique de Mackau,1762,female,2,France | Germany,5,,Austrian/Habsburg | Czech | Czech/Slovak | France | French | Germany,dame de compagnie | écrivain ou écrivaine,Has Wikipedia visibility but only weak affiliation evidence.,"Use to show data friction as evidence, not just noise."
visible_but_low_evidence_affiliation,http://www.wikidata.org/entity/Q16859219,Francis Wilford,1761,male,2,Germany | British,4,,British | German | Germany | South Asian,écrivain ou écrivaine,Has Wikipedia visibility but only weak affiliation evidence.,"Use to show data friction as evidence, not just noise."
visible_but_low_evidence_affiliation,http://www.wikidata.org/entity/Q18671680,Johann Christian Hüttner,1766,male,2,Germany | British,4,,British | German | Germany,enseignant ou enseignante | traducteur ou traductrice | écrivain ou écrivaine | éditeur ou éditrice,Has Wikipedia visibility but only weak affiliation evidence.,"Use to show data friction as evidence, not just noise."
visible_but_low_evidence_affiliation,http://www.wikidata.org/entity/Q6169121,Johan Herman Schrader,1684,male,2,France | Germany,3,,Danish | France | German | Germany,prêtre | écrivain ou écrivaine,Has Wikipedia visibility but only weak affiliation evidence.,"Use to show data friction as evidence, not just noise."
visible_but_low_evidence_affiliation,http://www.wikidata.org/entity/Q5541712,George Lewis Scott,1708,male,2,Germany | British,3,,Anglophone | British | German | Germany,écrivain ou écrivaine,Has Wikipedia visibility but only weak affiliation evidence.,"Use to show data friction as evidence, not just noise."
visible_but_low_evidence_affiliation,http://www.wikidata.org/entity/Q4556068,Dorothea Celesia,1738,female,2,France | British,3,,Anglophone | British | France | Italian,dramaturge | poète ou poétesse | écrivain ou écrivaine,Has Wikipedia visibility but only weak affiliation evidence.,"Use to show data friction as evidence, not just noise."
visible_but_low_evidence_affiliation,http://www.wikidata.org/entity/Q2097201,Piter Poel,1760,male,2,France | Germany,3,,France | German | Germany | Russian,chercheur indépendant | diplomate | écrivain ou écrivaine | éditeur ou éditrice,Has Wikipedia visibility but only weak affiliation evidence.,"Use to show data friction as evidence, not just noise."
